acl 2.2.53-2
sdl2 2.0.10-1
sed 4.7-2
shadow 4.7-2
shared-mime-info 1.15-1
snappy 1.1.7-1
sound-theme-freedesktop 0.8-3
speex 1.2.0-2
speexdsp 1.2.0-1
sqlite 3.30.1-1
startup-notification 0.12-6
sudo 1.8.29-1
suitesparse 5.6.0-1
sysfsutils 2.1.0-10
systemd 243.78-2
systemd-libs 243.78-2
systemd-sysvcompat 243.78-2
tar 1.32-2
tdb 1.3.18-4
texinfo 6.7-1
thunar 1.8.10-1
tree 1.8.0-1
tslib 1.21-1
tumbler 0.2.7-1
tzdata 2019c-2
util-linux 2.34-6
v4l-utils 1.16.7-1
vi 1:070224-3
vid.stab 1.1-2
vulkan-icd-loader 1.1.127-1
wayland 1.17.0-1
wayland-protocols 1.18-1
webrtc-audio-processing 0.3.1-1
which 2.21-4
x264 3:0.157.r2980.34c06d1-1
x265 3.2.1-1
xbitmaps 1.1.2-1
xcb-proto 1.13-4
xcb-util 0.4.0-2
xcb-util-image 0.4.0-2
xcb-util-keysyms 0.4.0-2
xcb-util-renderutil 0.3.9-2
xcb-util-wm 0.4.1-2
xdg-utils 1.1.3+18+g0547886-2
xf86-input-libinput 0.29.0-1
xfce4-settings 4.14.1-1
xfconf 4.14.1-1
xinput-gui 0.3.1-1
xkeyboard-config 2.28-1
xorg-bdftopcf 1.1-1
xorg-font-util 1.3.2-1
xorg-font-utils 7.6-5
xorg-luit 1.1.1-3
xorg-mkfontscale 1.2.1-1
xorg-server 1.20.5-4
xorg-server-common 1.20.5-4
xorg-setxkbmap 1.3.2-1
xorg-xauth 1.1-1
xorg-xinput 1.6.3-1
xorg-xkbcomp 1.4.2+7+g29fda8e-1
xorg-xrandr 1.5.1-1
xorg-xrdb 1.2.0-1
xorg-xset 1.2.4-1
xorgproto 2019.2-1
xterm 350-1
xvidcore 1.3.5-1
xz 5.2.4-2
yay 9.4.2-1
zita-alsa-pcmi 0.3.2-2
zita-resampler 1.6.2-2
zlib 1:1.2.11-3
zsh 5.7.1-1
zsh-completions 0.30.0-1
zstd 1.4.3-1
